Size,add(E),add(int_E),addAll(Collection),addAll(int_Collection),clear(),clone(),contains(Object),containsAll(Collection),equals(Object),get(int),hashCode(),indexOf(Object),isEmpty(),lastIndexOf(Object),remove(int),remove(Object),removeAll(Collection),retainAll(Collection),set(int_E),size(),subList(int_int),toArray(),toArray(T[]),toString()
5000,191375,8000,7333,11667,36958,3917,2562,8811167,409584,112,30939,2050,88,2481,3292,2094,9642958,5772167,1750,115,237542,3250,9542,638625
10000,341792,9416,11834,19208,74750,4916,4644,24064625,666000,31,9143,4641,14,4353,5125,4861,24424708,24079375,917,14,13416,3333,13584,652917
15000,463375,11750,14750,28542,107875,7000,7069,53879708,955542,30,13818,6919,14,6327,4541,7226,52512542,52263250,709,13,11916,10375,20167,684958
20000,580959,17625,27708,34125,142500,7875,8295,92590416,1269583,32,18346,8261,15,8271,6750,8349,92285541,93317708,834,13,4834,8167,26125,1711625
25000,429667,11042,12542,23459,187625,4333,10320,145102375,1232084,12,22676,10112,14,10222,9792,10127,142643500,142968500,792,14,4833,5375,38875,1551708
30000,521291,9333,14875,28208,62333,4542,12588,209606459,585041,12,27149,12318,14,12418,9500,12567,208280292,209582459,1167,17,4958,4791,38375,1695000
35000,326875,10666,17250,32541,91292,5625,15826,282203417,816167,5,462789,15816,16,15407,8541,15907,279600416,280344417,1208,16,5167,14209,45667,1553250
40000,469125,53167,40583,68417,58709,21833,21883,363087334,760750,5,606879,18093,12,17544,14250,18122,366251500,365921000,1125,12,5417,19583,52416,1866000
45000,523583,37167,49917,71958,12167,16541,20300,467194625,858792,5,689076,24769,9,20190,5291,20742,463362625,464104166,1292,9,4792,16208,57042,1941375
50000,594000,35666,47708,85958,12166,18834,22671,577162917,943625,5,774323,22905,9,22329,17709,22770,571508125,575456708,1375,9,4958,19542,63208,2271333
