Size,add(E),add(int_E),addAll(Collection),addAll(int_Collection),clear(),clone(),contains(Object),containsAll(Collection),equals(Object),get(int),hashCode(),indexOf(Object),isEmpty(),lastIndexOf(Object),remove(int),remove(Object),removeAll(Collection),retainAll(Collection),set(int_E),size(),subList(int_int),toArray(),toArray(T[]),toString()
5000,193125,5834,105042,127917,47667,3708,2677,10843709,106083,34,5772,2109,118,2801,3833,2128,1089625,550500,1250,120,64416,2583,9708,737791
10000,335167,10167,39458,52625,90833,5375,4878,24738833,222375,47,10730,4973,19,5048,6334,4936,911834,906666,708,15,111542,6750,14584,550375
15000,487584,13375,14458,41000,136292,7500,7316,57846083,344000,38,16306,7362,17,7740,8500,7463,1118083,933000,542,15,163042,6750,20750,776833
20000,309291,9125,9542,32709,180333,9417,10932,112589000,483583,35,21594,11007,17,11595,9958,11327,1091958,1148333,708,15,217625,3166,29875,1110416
25000,387167,14459,17833,32792,228333,10500,11924,156171458,591917,122,26855,11921,18,12259,9375,12145,1132042,1238250,1000,127,302291,8250,44500,1509666
30000,295042,29250,30959,44125,86083,13083,14297,212260417,190500,113,32157,14227,16,15062,8625,13993,815666,800416,2292,131,327375,13750,40959,1296625
35000,434375,26250,36041,49875,94208,15125,20078,303965416,200875,5,37439,17154,18,18259,10041,17321,943333,855333,1084,121,388000,16167,47666,1543500
40000,492541,34833,47125,78583,65042,15583,19242,381142125,89542,5,42035,19233,116,20596,5208,19313,1078333,1118667,916,97,121417,15792,55541,1632166
45000,559292,43625,43084,66292,53375,19458,21355,503269875,46000,5,48054,22219,100,23271,14542,22159,1120459,1653334,959,97,146250,19833,68250,1846375
50000,624041,30250,61834,75084,22167,19917,23949,620304416,42291,6,54390,23655,117,25762,10625,24365,992917,1297167,1667,103,115667,18542,66750,2109125
